dataset|leaves|leavesNotNormalized|maxBranchingFactor|maxBranchingFactorNotNormalized|maxDepth|maxDepthNotNormalized|meanAspectRatio|meanBranchingFactor|meanBranchingFactorNotNormalized|meanDepth|meanDepthNotNormalized|task|totalInteractions|totalNodes|userid
birdstrikes1|0.4|2|0.4|2.0|0.6|3.0|0.4444444444444445|0.16|0.8|0.36|1.8|t3|23|5|97
birdstrikes1|0.1111111111111111|2|0.1111111111111111|2.0|0.7777777777777778|14.0|0.1317829457364341|0.05246913580246913|0.9444444444444444|0.39814814814814814|7.166666666666667|t4|24|18|01
birdstrikes1|0.35714285714285715|5|0.21428571428571427|3.0|0.6428571428571429|9.0|0.21311475409836067|0.0663265306122449|0.9285714285714286|0.3112244897959184|4.357142857142857|t4|37|14|05
birdstrikes1|0.2857142857142857|4|0.2857142857142857|4.0|0.2857142857142857|4.0|0.4642857142857143|0.0663265306122449|0.9285714285714286|0.14285714285714285|2.0|t4|38|14|09
birdstrikes1|0.5|3|0.5|3.0|0.5|3.0|0.4166666666666667|0.1388888888888889|0.8333333333333334|0.3333333333333333|2.0|t4|23|6|109
birdstrikes1|0.4166666666666667|5|0.4166666666666667|5.0|0.25|3.0|0.611111111111111|0.0763888888888889|0.9166666666666666|0.125|1.5|t4|21|12|13
birdstrikes1|0.05555555555555555|1|0.05555555555555555|1.0|0.9444444444444444|17.0|0.1111111111111111|0.05246913580246913|0.9444444444444444|0.4722222222222222|8.5|t4|39|18|25
birdstrikes1|0.5|6|0.4166666666666667|5.0|0.5|6.0|0.23913043478260868|0.0763888888888889|0.9166666666666666|0.3194444444444444|3.8333333333333335|t4|28|12|29
birdstrikes1|0.3333333333333333|4|0.3333333333333333|4.0|0.3333333333333333|4.0|0.5|0.0763888888888889|0.9166666666666666|0.1527777777777778|1.8333333333333333|t4|44|12|33
birdstrikes1|0.18518518518518517|5|0.1111111111111111|3.0|0.7407407407407407|20.0|0.11016949152542373|0.03566529492455418|0.9629629629629629|0.32373113854595337|8.74074074074074|t4|41|27|37
birdstrikes1|0.1875|3|0.125|2.0|0.6875|11.0|0.15306122448979592|0.05859375|0.9375|0.3828125|6.125|t4|24|16|53
birdstrikes1|0.3076923076923077|4|0.15384615384615385|2.0|0.46153846153846156|6.0|0.2857142857142857|0.07100591715976332|0.9230769230769231|0.2485207100591716|3.230769230769231|t4|31|13|57
birdstrikes1|0.5|1|0.5|1.0|0.5|1.0|1.0|0.25|0.5|0.25|0.5|t4|14|2|61
birdstrikes1|0.13636363636363635|3|0.09090909090909091|2.0|0.5909090909090909|13.0|0.12883435582822086|0.04338842975206612|0.9545454545454546|0.3367768595041322|7.409090909090909|t4|36|22|73
birdstrikes1|0.5|5|0.5|5.0|0.3|3.0|0.4736842105263158|0.09|0.9|0.19|1.9|t4|40|10|77
birdstrikes1|0.3|3|0.3|3.0|0.4|4.0|0.4736842105263158|0.09|0.9|0.19|1.9|t4|22|10|81
birdstrikes1|0.2727272727272727|3|0.2727272727272727|3.0|0.5454545454545454|6.0|0.37037037037037035|0.08264462809917356|0.9090909090909091|0.2231404958677686|2.4545454545454546|t4|31|11|85
birdstrikes1|0.16666666666666666|2|0.16666666666666666|2.0|0.8333333333333334|10.0|0.1896551724137931|0.0763888888888889|0.9166666666666666|0.4027777777777778|4.833333333333333|t4|26|12|97
weather1|0.2222222222222222|2|0.2222222222222222|2.0|0.6666666666666666|6.0|0.25|0.09876543209876543|0.8888888888888888|0.3950617283950617|3.5555555555555554|t1|17|9|01
weather1|0.3|3|0.2|2.0|0.7|7.0|0.2647058823529412|0.09|0.9|0.34|3.4|t1|37|10|05
weather1|0.5|4|0.375|3.0|0.5|4.0|0.5384615384615384|0.109375|0.875|0.203125|1.625|t1|13|8|113
weather1|0.25|3|0.16666666666666666|2.0|0.4166666666666667|5.0|0.34375|0.0763888888888889|0.9166666666666666|0.2222222222222222|2.6666666666666665|t1|25|12|117
weather1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t1|12|6|21
weather1|0.2857142857142857|2|0.2857142857142857|2.0|0.7142857142857143|5.0|0.3157894736842105|0.12244897959183673|0.8571428571428571|0.3877551020408163|2.7142857142857144|t1|13|7|25
weather1|1.0|1|0.0|0.0|0.0|0.0|0|0.0|0.0|0.0|0.0|t1|3|1|29
weather1|0.2|3|0.13333333333333333|2.0|0.4666666666666667|7.0|0.2545454545454546|0.06222222222222222|0.9333333333333333|0.24444444444444444|3.6666666666666665|t1|28|15|41
weather1|0.2727272727272727|3|0.18181818181818182|2.0|0.6363636363636364|7.0|0.27777777777777773|0.08264462809917356|0.9090909090909091|0.2975206611570248|3.272727272727273|t1|16|11|45
weather1|0.15384615384615385|2|0.15384615384615385|2.0|0.6153846153846154|8.0|0.19672131147540983|0.07100591715976332|0.9230769230769231|0.3609467455621302|4.6923076923076925|t1|32|13|53
weather1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t1|9|6|65
weather1|0.25|3|0.25|3.0|0.5833333333333334|7.0|0.23404255319148937|0.0763888888888889|0.9166666666666666|0.3263888888888889|3.9166666666666665|t1|19|12|69
weather1|0.09090909090909091|1|0.09090909090909091|1.0|0.9090909090909091|10.0|0.18181818181818182|0.08264462809917356|0.9090909090909091|0.45454545454545453|5.0|t1|21|11|73
weather1|0.5|1|0.5|1.0|0.5|1.0|1.0|0.25|0.5|0.25|0.5|t1|2|2|77
weather1|0.14285714285714285|1|0.14285714285714285|1.0|0.8571428571428571|6.0|0.2857142857142857|0.12244897959183673|0.8571428571428571|0.42857142857142855|3.0|t1|16|7|93
weather1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t1|9|5|97
weather1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t2|25|6|01
weather1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t2|28|6|05
weather1|0.6|3|0.4|2.0|0.4|2.0|0.6666666666666667|0.16|0.8|0.24|1.2|t2|22|5|113
weather1|0.14285714285714285|1|0.14285714285714285|1.0|0.8571428571428571|6.0|0.2857142857142857|0.12244897959183673|0.8571428571428571|0.42857142857142855|3.0|t2|21|7|117
weather1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|16|4|21
weather1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|7|4|25
weather1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t2|11|3|29
weather1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t2|18|5|41
weather1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|8|4|45
weather1|0.3333333333333333|2|0.3333333333333333|2.0|0.6666666666666666|4.0|0.4166666666666667|0.1388888888888889|0.8333333333333334|0.3333333333333333|2.0|t2|30|6|53
weather1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|7|4|65
weather1|0.25|2|0.25|2.0|0.5|4.0|0.3684210526315789|0.109375|0.875|0.296875|2.375|t2|23|8|69
weather1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t2|28|6|73
weather1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t2|15|3|77
weather1|0.5|2|0.5|2.0|0.5|2.0|0.6|0.1875|0.75|0.3125|1.25|t2|16|4|93
weather1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|15|4|97
weather1|0.5|3|0.5|3.0|0.3333333333333333|2.0|0.7142857142857143|0.1388888888888889|0.8333333333333334|0.19444444444444445|1.1666666666666667|t3|13|6|01
weather1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t3|16|4|05
weather1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t3|23|5|113
weather1|0.42857142857142855|3|0.42857142857142855|3.0|0.42857142857142855|3.0|0.6|0.12244897959183673|0.8571428571428571|0.20408163265306123|1.4285714285714286|t3|28|7|117
